Week,Course,Location,Distance (km),Race Type,Length (Laps),Race Date
1,Canadian Tire Motorsports Park,"Bowmanville, Ontario, Canada",4.1,Sprint,30,3/16/2024
2,Road Atlanta,"Braselton, Georgia, USA",4.1,Sprint,30,3/30/2024
3,Silverstone Circuit,"Towcester, Northamptonshire, UK",5.9,Endurance,42,4/20/2024
4,Circuit Zolder,"Heusden-Zolder, Belgium",4,Sprint,31,5/4/2024
5,Autodromo Jose Carlos Pace,"Sao Paulo, Brazil",4.3,Sprint,29,5/25/2024
6,Sonoma Raceway,"Sonoma, CA, USA",4,Sprint,32,6/8/2024
7,Road America,"Plymouth, Wisconsin, USA",6.5,Endurance,38,6/22/2024
8,Daytona International Speedway,"Daytona, Florida, USA",5.7,Sprint,22,7/6/2024
9,Autodromo Nazionale Monza,"Monza, Italy",5.8,Sprint,22,7/27/2024
10,Suzuka International Racing Course,"Suzuka, Japan",5.8,Sprint,22,8/17/2024
11,Fuji International Raceway,"Shizuoka-Ken, Japan",4.5,Endurance,56,8/31/2024
12,Misano World Circuit Marco Simoncelli,"Adriatico, Italy",4.2,Sprint,30,9/21/2024
13,Algarve International Circuit,"Portimao, Portugal",4.6,Sprint,27,10/5/2024
14,Indianapolis Motor Speedway,"Indianapolis, Indiana, USA",3.9,Sprint,32,10/26/2024
15,Watkins Glen International,"Watkins Glen, NY",5.5,Endurance,45,11/9/2024
